ID,Age,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation,Female,Male,No,Yes,No,Yes,Artist,Doctor,Engineer,Entertainment,Executive,Healthcare,Homemaker,Lawyer,Marketing
10407,52,1.0,2,4.0,5,2,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
8783,45,1.0,0,3.0,5,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
2343,43,0.0,1,3.0,5,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
2887,67,1.0,0,2.0,5,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
9421,28,0.0,0,2.0,5,3,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
5768,43,3.0,0,3.0,5,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4975,37,4.0,2,2.0,5,2,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
3790,26,1.0,2,2.0,5,3,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
7625,77,0.0,2,2.0,2,2,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
4275,30,1.0,2,4.0,5,3,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0
10389,33,1.0,2,3.0,5,3,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
4729,19,5.0,2,4.0,1,3,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
500,80,1.0,1,2.0,5,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
7619,37,1.0,1,2.0,5,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
9360,59,0.0,2,2.0,5,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
4127,84,0.0,2,2.0,2,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
4761,29,9.0,2,3.0,5,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
6224,38,9.0,2,4.0,4,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
6930,42,8.0,2,1.0,5,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
307,46,1.0,2,2.0,5,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
5492,27,9.0,2,4.0,5,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
5647,36,1.0,2,4.0,1,2,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
4022,58,1.0,0,2.0,5,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
2980,27,9.0,0,2.0,5,3,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
2952,43,8.0,2,1.0,5,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
8015,29,9.0,2,4.0,2,3,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
9507,36,13.0,2,2.0,5,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
7382,35,0.0,2,4.0,3,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
4772,46,0.0,2,2.0,5,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
3066,50,0.0,0,4.0,5,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
1316,53,1.0,0,3.0,5,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
6315,43,4.0,0,2.0,5,3,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
1934,27,4.0,1,3.0,5,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
325,32,5.0,2,1.0,3,3,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
1958,53,1.0,0,3.0,5,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
187,55,0.0,0,2.0,5,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
10284,28,3.0,0,3.0,6,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
5818,82,0.0,1,2.0,5,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
6886,40,1.0,2,3.0,5,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
7994,48,0.0,0,2.0,5,1,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
6044,59,1.0,2,2.0,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
2678,22,0.0,2,4.0,5,3,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
2359,29,13.0,2,1.0,5,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0
10295,31,2.0,2,5.0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
7323,68,1.0,2,2.0,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
7792,40,0.0,2,1.0,5,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
4281,49,1.0,2,1.0,5,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
9115,84,1.0,1,2.0,5,2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
9101,27,6.0,2,5.0,1,2,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
4785,35,9.0,0,2.0,3,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
5424,32,0.0,2,2.0,6,3,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
5653,69,0.0,2,2.0,5,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
3432,65,1.0,0,2.0,5,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
6277,80,0.0,2,1.0,5,3,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
1521,45,4.0,1,4.0,5,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
6172,32,1.0,2,5.0,5,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
2201,75,0.0,1,2.0,5,2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
280,84,1.0,1,2.0,5,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
445,39,8.0,2,1.0,5,3,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
7769,49,9.0,2,2.0,5,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
3803,35,1.0,2,2.0,5,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
9354,27,11.0,2,1.0,5,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
115,46,1.0,0,4.0,2,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
9252,71,1.0,2,1.0,5,3,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1
172,28,6.0,2,3.0,3,1,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
6289,28,1.0,2,2.0,5,3,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
3397,46,1.0,2,1.0,5,3,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
8960,23,6.0,2,3.0,2,3,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
2395,42,2.0,0,2.0,5,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
8886,74,0.0,1,2.0,5,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
7348,56,0.0,2,2.0,5,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
4912,27,1.0,2,5.0,5,3,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
6734,43,1.0,0,2.0,5,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
8698,62,1.0,0,2.0,5,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
8778,79,0.0,1,1.0,5,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
2082,63,1.0,0,6.0,3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
3919,63,5.0,1,2.0,5,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
858,51,0.0,1,3.0,3,3,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0
5381,26,0.0,2,3.0,2,2,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
8792,35,0.0,2,1.0,5,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
7429,43,3.0,0,2.0,5,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
3099,33,8.0,2,4.0,5,3,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
3075,31,0.0,2,4.0,5,3,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
3698,43,9.0,2,1.0,5,3,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
2734,23,1.0,2,3.0,5,3,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
5293,59,0.0,0,3.0,5,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
7791,41,0.0,2,1.0,5,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
233,49,1.0,2,2.0,5,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
1463,19,8.0,2,4.0,0,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
6484,88,0.0,1,3.0,5,3,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
1989,37,9.0,2,1.0,5,3,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
10388,20,2.0,2,6.0,1,3,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
1701,42,1.0,2,1.0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
530,59,0.0,2,1.0,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
1095,31,8.0,2,2.0,2,3,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
757,42,1.0,2,3.0,3,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
3309,37,1.0,2,3.0,5,3,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
2390,72,1.0,1,2.0,5,2,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
3550,89,0.0,2,2.0,5,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0
9774,32,0.0,2,3.0,3,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
173,30,13.0,2,2.0,5,3,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
3597,47,0.0,0,5.0,1,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
9551,42,0.0,0,2.0,5,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
8963,50,0.0,0,9.0,5,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
1779,49,1.0,0,3.0,3,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1
4305,41,5.0,1,3.0,3,3,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
6790,28,8.0,2,2.0,5,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
776,69,1.0,0,2.0,2,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
6438,53,0.0,0,3.0,5,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
8168,37,0.0,2,5.0,3,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
1966,38,3.0,0,3.0,5,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
982,33,0.0,2,2.0,5,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
5868,36,9.0,0,2.0,5,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
1289,18,4.0,2,2.0,5,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
3645,27,8.0,2,2.0,5,3,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
668,23,4.0,2,3.0,5,3,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
4146,29,0.0,2,3.0,2,2,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
6223,41,9.0,2,3.0,5,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
2955,38,7.0,2,1.0,5,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
2341,19,5.0,2,4.0,2,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
9420,19,1.0,2,6.0,2,3,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
9503,35,9.0,2,1.0,5,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
1756,41,2.0,2,2.0,5,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
5735,40,1.0,0,2.0,3,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
5687,59,1.0,0,3.0,2,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
9659,47,0.0,2,2.0,5,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
771,38,1.0,0,3.0,5,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
3873,32,8.0,1,5.0,6,3,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
6548,48,1.0,2,1.0,5,1,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
2932,25,0.0,2,4.0,5,3,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
7091,67,0.0,2,1.0,2,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
1755,39,3.0,2,4.0,5,3,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
5693,42,6.0,2,2.0,5,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
2966,53,1.0,0,2.0,5,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
1886,59,1.0,0,3.0,5,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
3215,30,3.0,2,2.0,0,3,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
4616,39,11.0,0,2.0,1,3,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0
2620,52,3.0,2,1.0,5,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
4893,46,1.0,0,3.0,5,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
4164,72,1.0,0,3.0,5,2,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
5358,82,1.0,1,2.0,5,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
1438,26,1.0,2,5.0,5,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
5322,35,3.0,2,1.0,5,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
7489,71,1.0,2,2.0,5,3,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0
5812,40,1.0,2,1.0,5,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
1836,37,0.0,0,2.0,0,2,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
9414,43,0.0,0,4.0,1,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
2117,58,1.0,0,2.0,5,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
7277,41,3.0,2,2.0,5,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
9801,19,8.0,2,6.0,5,3,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
2757,26,1.0,0,2.0,3,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0
9865,45,1.0,0,4.0,5,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
7093,33,1.0,2,2.0,5,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
2818,51,9.0,0,2.0,5,3,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0
8344,30,1.0,2,2.0,5,2,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
8743,55,0.0,2,2.0,5,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
2585,82,1.0,1,2.0,5,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
9935,23,3.0,2,2.0,3,3,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
5489,48,0.0,0,4.0,3,3,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
3718,41,0.0,2,4.0,5,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
5037,36,1.0,0,3.0,5,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
1049,62,1.0,2,2.0,5,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
10575,43,0.0,1,4.0,2,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
9165,89,0.0,1,2.0,5,2,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
8163,21,0.0,2,4.0,1,3,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
5927,40,0.0,0,5.0,5,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
1947,36,1.0,2,2.0,2,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0
7085,43,0.0,2,1.0,5,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0
1086,48,1.0,2,6.0,5,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
9722,39,1.0,2,3.0,5,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
4778,30,0.0,2,4.0,2,2,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0
8958,31,14.0,2,1.0,5,3,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0
3603,55,1.0,2,5.0,5,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
10590,18,1.0,2,3.0,3,3,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
5275,42,1.0,2,2.0,5,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
10576,38,8.0,2,1.0,5,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
6799,37,0.0,2,2.0,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0
9691,83,0.0,2,1.0,5,3,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0
8143,29,2.0,2,5.0,1,3,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
4079,50,1.0,2,2.0,5,2,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0
10220,37,1.0,2,1.0,5,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
694,19,0.0,2,4.0,5,3,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
1697,45,2.0,0,3.0,2,3,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
5176,78,1.0,1,2.0,5,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
4113,22,5.0,2,3.0,1,3,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0
8708,33,0.0,0,5.0,5,3,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
815,40,0.0,2,3.0,3,3,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
6589,20,0.0,2,2.0,5,3,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
4242,60,0.0,2,3.0,5,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
6555,63,4.0,0,8.0,3,3,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
1231,55,0.0,2,4.0,3,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
7425,41,0.0,1,3.0,5,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
8935,51,0.0,0,6.0,3,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
3789,73,1.0,1,2.0,3,3,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
5705,39,2.0,1,2.0,4,2,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
1636,71,2.0,2,6.0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0
5423,40,4.0,2,2.0,5,2,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
5400,47,8.0,2,1.0,2,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
4393,35,1.0,0,4.0,2,3,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
3408,47,1.0,2,1.0,5,3,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1
113,32,9.0,0,2.0,5,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
1257,57,0.0,2,4.0,2,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0
9223,19,2.0,2,5.0,1,3,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
7135,43,4.0,0,2.0,5,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
6057,87,0.0,1,2.0,5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
3562,67,1.0,0,2.0,1,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
5729,28,8.0,2,2.0,5,3,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0
6063,60,0.0,1,3.0,5,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
9678,84,1.0,1,2.0,5,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
166,27,9.0,2,4.0,5,3,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0
7252,29,8.0,2,5.0,5,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
4125,67,1.0,0,3.0,5,2,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
8813,22,1.0,2,4.0,5,3,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0
8934,33,1.0,2,4.0,5,2,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
5991,30,1.0,0,2.0,3,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0
1527,36,1.0,2,4.0,3,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1
10315,37,1.0,0,2.0,5,2,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0
8013,37,0.0,2,1.0,3,3,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1
7795,37,1.0,0,3.0,5,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
851,56,0.0,2,1.0,5,3,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
8527,36,0.0,0,2.0,5,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
9292,56,1.0,2,4.0,3,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
5588,25,1.0,2,5.0,2,2,0,1,1,0,0,1,0,0,0,0,0,0,0,0,1
3844,61,4.0,0,2.0,4,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
8899,39,2.0,0,2.0,3,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
2321,30,10.0,2,4.0,5,3,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0
3984,43,1.0,2,4.0,2,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
2630,56,0.0,1,4.0,5,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0
2519,27,0.0,2,5.0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0
4091,36,1.0,1,3.0,5,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0
7869,32,8.0,2,2.0,5,3,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0
3403,37,1.0,0,3.0,6,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0
5433,49,1.0,0,8.0,3,3,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
6596,48,12.0,2,1.0,3,3,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
7620,70,0.0,1,2.0,5,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
4842,76,8.0,1,2.0,5,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0
9471,48,0.0,2,2.0,5,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
2743,35,9.0,2,3.0,5,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
2174,35,5.0,2,2.0,5,1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0
6953,65,1.0,1,3.0,5,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0
10401,52,1.0,1,4.0,5,2,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1
3098,25,6.0,0,8.0,3,3,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0
8872,26,0.0,2,5.0,5,3,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0
4080,62,0.0,2,3.0,5,2,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
402,72,1.0,2,2.0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0
9614,43,8.0,2,1.0,5,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0
